station_id,station_name,latitude,longitude,city,state,country,operator,network,status,access_type,total_charging_points,avg_power_kw,max_power_kw,total_sessions,total_energy_kwh,avg_session_duration_minutes,avg_session_cost,weather_records_count,traffic_records_count,anomaly_count,last_session_date,created_at,updated_at
469741,"Pilot Travel Center #63 Piedmont, SC",34.71029947,-82.49809244,Piedmont,SC,United States,eVgo Network,,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245214,2025-12-10T07:42:59.245214
469743,"Pilot Travel Center #4642 Toms Brook, VA",38.96681936,-78.43859993,Toms Brook,VA,United States,eVgo Network,,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.24521,2025-12-10T07:42:59.24521
469745,"Flying J Travel Center #875 Elkton, MD",39.63775037,-75.80665298,Elkton,MD,United States,eVgo Network,,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245205,2025-12-10T07:42:59.245206
469746,"Pilot Travel Center #281 Girard, OH",41.14061926,-80.71873263,Girard,OH,United States,eVgo Network,,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245201,2025-12-10T07:42:59.245202
469747,"Flying J Travel Center #692 Wells, NV",41.09733192,-114.95841899,Wells,NV,United States,eVgo Network,,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245198,2025-12-10T07:42:59.245198
469748,Ionna Largo Rechargery @ Wawa,27.92834267,-82.7883568,Largo,FL,United States,IONNA,,Operational,,0,,,0,,,,18,0,4,,2025-12-10T07:42:59.245194,2025-12-10T07:42:59.245194
469749,"Ionna Reading, MA Rechargery Relay",42.51828198,-71.09510054,Reading,MA,United States,IONNA,,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.24519,2025-12-10T07:42:59.245191
469752,"Ionna Carlin, NV Rechargery Relay @ Ridley’s Market",40.71873861,-116.10837613,Carlin,NV,United States,IONNA,,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245187,2025-12-10T07:42:59.245187
469807,OUC ReCharge EV Hub at OCCC,28.43103321,-81.45316713,Orlando,FL,United States,ChargeUp (NovaCharge),,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245182,2025-12-10T07:42:59.245183
470113,Kwik-Charge #1205,43.57533066,-89.77678452,Lake Delton,WI,United States,Kwik Charge (Kwik Trip),,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245178,2025-12-10T07:42:59.245178
470276,"New Albany Light, Gas, and Water",34.49340373,-89.01077641,New Albany,MS,United States,Electric Era (US),,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245174,2025-12-10T07:42:59.245174
470312,Safeway,38.01504354,-122.27200675,Hercules,CA,United States,Electrify America,,Planned For Future Date,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245169,2025-12-10T07:42:59.245169
470314,EVolve NY Afton,42.22745527,-75.5257999,Afton,NY,United States,Electrify America,,Operational,,0,,,0,,,,18,0,4,,2025-12-10T07:42:59.245164,2025-12-10T07:42:59.245164
470357,FastTrack Market Marathon,42.25597141,-83.27277905,Taylor,MI,United States,Red E Charge,,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245152,2025-12-10T07:42:59.245152
470498,US Highway 57,28.71659659,-100.46112918,Eagle Pass,Texas,United States,InCharge (US),,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245147,2025-12-10T07:42:59.245147
470651,"Starbucks - Ridgefield, WA",45.81638546,-122.69037961,Ridgefield,WA,United States,Mercedes-Benz High-Power Charging (US),,Planned For Future Date,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245141,2025-12-10T07:42:59.245141
